#Code,description
#Extracted from http://www.publictendering.com/xls/CPV2008es.xls on 20151010. Converted using in2csv.
03142000-8,Productos de origen animal
03142100-9,Miel natural
03142200-0,Caracoles
03142300-1,Productos comestibles de origen animal
03142400-2,Ceras
03142500-3,Huevos
03143000-5,Productos de cultivo mixto
03144000-2,Productos para la agricultura
03200000-3,"Cereales, patatas, hortalizas, frutas y frutos de cáscara"
03210000-6,Cereales y patatas
03211000-3,Cereales
03211100-4,Trigo
03211110-7,Trigo duro
03211120-0,Trigo blando
03211200-5,Maíz
03211300-6,Arroz
03211400-7,Cebada
03211500-8,Centeno
03211600-9,Avena
03211700-0,Malta
03211900-2,Productos de granos
03212000-0,Patatas y legumbres secas
03212100-1,Patatas
03212200-2,Legumbres y hortalizas leguminosas secas
03212210-5,Leguminosas secas
03212211-2,Lentejas
03212212-9,Garbanzos
03212213-6,Guisantes secos
03212220-8,Legumbres
03220000-9,"Hortalizas, frutas y frutos de cáscara"
03221000-6,Hortalizas
03221100-7,Hortalizas de raíz y tubérculo
03221110-0,Hortalizas de raíz
03221111-7,Remolachas
03221112-4,Zanahorias
03221113-1,Cebollas
03221114-8,Nabos
03221120-3,Hortalizas de tubérculo
03221200-8,Frutos hortícolas
03221210-1,Judías
03221211-8,Habas
03221212-5,Judías verdes
03221213-2,Judías pintas
03221220-4,Guisantes
03221221-1,Guisantes de huerta
03221222-8,Guisantes mollares
03221230-7,Pimientos
03221240-0,Tomates
03221250-3,Calabacines
03221260-6,Champiñones
03221270-9,Pepinos
03221300-9,Hortalizas de hoja
03221310-2,Lechuga
03221320-5,Hojas para ensalada
03221330-8,Alcachofas
03221340-1,Espinacas
03221400-0,Coles
03221410-3,Repollos
03221420-6,Coliflores
03221430-9,Brécoles
03221440-2,Coles de Bruselas
03222000-3,Frutas y frutos de cáscara
03222100-4,Frutas y frutos de cáscara tropicales
03222110-7,Frutas tropicales
03222111-4,Plátanos
03222112-1,Piñas
03222113-8,Mangos
03222114-5,Dátiles
03222115-2,Pasas
03222116-9,Higos
03222117-6,Aguacates
03222118-3,Kiwis
03222120-0,Cocos
03222200-5,Cítricos
03222210-8,Limones
03222220-1,Naranjas
03222230-4,Pomelos
03222240-7,Naranjas tangerinas
03222250-0,Limas
03222300-6,Frutas no tropicales
03222310-9,Bayas
03222311-6,Pasas de Corinto
03222312-3,Grosellas silvestres
03222313-0,Fresas
03222314-7,Frambuesas
03222315-4,Arándanos
03222320-2,"Manzanas, peras y membrillos"
03222321-9,Manzanas
03222322-6,Peras
03222323-3,Membrillos
03222330-5,Frutas de hueso
03222331-2,Albaricoques
03222332-9,Melocotones
03222333-6,Cerezas
03222334-3,Ciruelas
03222340-8,Uvas
03222341-5,Uvas de mesa
03222342-2,Uvas de vino
03222400-7,Aceitunas
03300000-2,"Productos de la ganadería, la caza y la pesca"
03310000-5,"Pescado, crustáceos y productos acuáticos"
03311000-2,Pescado
03311100-3,Pescado plano
03311110-6,Lenguado
03311120-9,Solla
03311200-4,Pescados de la familia del bacalao
03311210-7,Bacalao
03311220-0,Abadejo
03311230-3,Merluza
03311240-6,Eglefino
03311300-5,Arenque
03311400-6,Atún
03311500-7,Merlán
03311600-8,Morralla
03311700-9,Salmón
03312000-9,Crustáceos
03312100-0,Ostras
03312200-1,Moluscos
03312300-2,Invertebrados acuáticos
03313000-6,Productos acuáticos
03313100-7,Corales o productos similares
03313200-8,Esponjas naturales
03313300-9,Algas marinas
03313310-2,Algas
03320000-8,Ganado y animales pequeños
03321000-5,Ganado bovino
03321100-6,Bovinos adultos
03321200-7,Terneros
03322000-2,Ganado no bovino
03322100-3,Ovejas
03322200-4,Cabras
03322300-5,Caballos
03323000-9,Cerdos
03324000-6,Aves de corral vivas
03325000-3,Animales pequeños
03325100-4,Conejos
03325200-5,Liebres
03330000-3,Productos de animales de granja
03331000-0,Leche fresca de oveja y de cabra
03331100-1,Leche de oveja
03331200-2,Leche de cabra
03332000-7,Lana y pelo de animales
03332100-8,Lana de esquila
03332200-9,Pelo de animal
03333000-4,Leche fresca de vaca
03340000-6,Marcas auriculares para animales
03341000-3,Marcas auriculares para ganado bovino
03400000-4,Productos de la silvicultura y de la explotación forestal
03410000-7,Madera
03411000-4,Madera de coníferas
03412000-1,Madera de especies tropicales
03413000-8,Madera para calefacción
03414000-5,Madera en bruto
03415000-2,Madera blanda
03416000-9,Residuos de madera
03417000-6,Madera de desecho
03417100-7,Serrín
03418000-3,Troncos
03418100-4,Madera dura
03419000-0,Madera de construcción
03419100-1,Productos de madera
03419200-2,Madera de mina
03420000-0,Gomas
03421000-7,Bálsamos
03422000-4,Laca
03430000-3,Corcho
03431000-0,Corcho natural
03432000-7,Artículos de cestería
03432100-8,Artículos de espartería
03440000-6,Productos de la silvicultura
03441000-3,"Plantas, hierbas, musgos o líquenes para uso ornamental"
03450000-9,Productos de vivero
03451000-6,Plantas
03451100-7,Plantas para trasplantar
03451200-8,Bulbos florales
03451300-9,Arbustos
03452000-3,Árboles
03460000-2,Pasta de celulosa
03461000-9,Pasta de madera
03461100-0,Pasta química de madera
09000000-3,"Derivados del petróleo, combustibles, electricidad y otras fuentes de energía"
09100000-0,Combustibles
09110000-3,Combustibles sólidos
09111000-0,Carbón y combustibles derivados del carbón
09111100-1,Carbón
09111200-2,Combustibles derivados del carbón
09111210-5,Antracita
09111220-8,Briquetas
09111300-3,Combustibles fósiles
09111400-4,Combustibles de madera
09112000-7,Lignito y turba
09112100-8,Lignito
09112200-9,Turba
09113000-4,Coque
09120000-6,Combustibles gaseosos
09121000-3,"Gas de hulla, gas de red o gases similares"
09121100-4,Gas de hulla o gases similares
09121200-5,Gas de red
09122000-0,Propano y butano
09122100-1,Gas propano
09122110-4,Gas propano licuado
09122200-2,Gas butano
09122210-5,Gas butano licuado
09123000-7,Gas natural
09130000-9,Petróleo y destilados
09131000-6,Queroseno de aviación
09131100-7,Combustibles tipo queroseno para reactores
09132000-3,Gasolina
09132100-4,Gasolina sin plomo
09132200-5,Gasolina con plomo
09132300-6,Gasolina con etanol
09133000-0,Gas licuado del petróleo (GLP)
09134000-7,Gasóleos
09134100-8,Gasoil
09134200-9,Combustible para motores diésel
09134210-2,Combustible para motores diésel (0.2)
09134220-5,Combustible para motores diésel (EN 590)
09134230-8,Biodiésel
09134231-5,Biodiésel (B20)
09134232-2,Biodiésel (B100)
09135000-4,Aceites combustibles
09135100-5,Petróleo para calefacción
09135110-8,Aceites combustibles con bajo contenido de azufre
09200000-1,"Productos del petróleo, del carbón y de aceites minerales"
09210000-4,Preparados lubricantes
09211000-1,Aceites lubricantes y agentes lubricantes
09211100-2,Aceites para motores
09211200-3,Aceites para compresores
09211300-4,Aceites para turbinas
09211400-5,Aceites para engranajes
09211500-6,Aceites para reductores
09211600-7,Aceites para sistemas hidráulicos y otros usos
09211610-0,Líquidos para uso hidráulico
09211620-3,Aceites de desmoldado
09211630-6,Aceites anticorrosión
09211640-9,Aceites para aislamiento eléctrico
09211650-2,Líquidos de frenos
09211700-8,Aceites blancos y parafinas líquidas
09211710-1,Aceites blancos
09211720-4,Parafinas líquidas
09211800-9,Aceites de petróleo y preparados
09211810-2,Aceites ligeros
09211820-5,Aceites de petróleo
09211900-0,Aceites lubricantes para motores de tracción
09220000-7,"Vaselina, ceras de petróleo y gasolinas especiales"
09221000-4,Vaselina y ceras de petróleo
09221100-5,Vaselina
09221200-6,Parafina
09221300-7,Cera de petróleo
09221400-8,Residuos de petróleo
09222000-1,Gasolinas especiales
09222100-2,Trementina mineral
09230000-0,Petróleo (crudo)
09240000-3,Productos derivados del carbón o de aceites minerales
09241000-0,Esquistos bituminosos o petrolíferos
09242000-7,Productos derivados del carbón
09242100-8,Aceite de alquitrán
09300000-2,"Electricidad, calefacción, energías solar y nuclear"
09310000-5,Electricidad
09320000-8,"Vapor, agua caliente y productos afines"
09321000-5,Agua caliente
09322000-2,Vapor
09323000-9,Calefacción urbana
09324000-6,Calefacción a larga distancia
09330000-1,Energía solar
09331000-8,Placas solares
09331100-9,Captadores solares para la producción de calor
09331200-0,Módulos solares fotovoltaicos
09332000-5,Instalación solar
09340000-4,Combustibles nucleares
09341000-1,Uranio
09342000-8,Plutonio
09343000-5,Materiales radiactivos
09344000-2,Radioisótopos
14000000-1,"Productos de la minería, de metales de base y productos afines"
14200000-3,Arena y arcilla
14210000-6,"Grava, arena, piedras machacadas y agregados"
14211000-3,Arena
14211100-4,Arena natural
14212000-0,"Gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demás agregados"
14212100-1,Guijarros y grava
14212110-4,Grava
14212120-7,Guijarros
14212200-2,Agregados
14212210-5,Mezcla arena-grava
14212300-3,Piedra partida y machacada
14212310-6,Balasto
14212320-9,Granito machacado
14212330-2,Basalto machacado
14212400-4,Suelo
14212410-7,Tierra vegetal
14212420-0,Subsuelo
14212430-3,Gravilla
14213000-7,"Macadán, macadán bituminoso y arenas bituminosas"
14213100-8,Macadán
14213200-9,Macadán bituminoso
14213300-0,Arenas bituminosas
14220000-9,Arcilla y caolín
14221000-6,Arcilla
14222000-3,Caolín
14300000-4,Minerales químicos y abonos minerales
14310000-7,Abonos minerales
14311000-4,"Calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto"
14311100-5,Calcio natural
14311200-6,Fosfatos aluminocálcicos
14311300-7,Sales de potasio natural en bruto
14312000-1,Piritas de hierro
14312100-2,Piritas de hierro sin tostar
14320000-0,Minerales químicos
14400000-5,Sal y cloruro de sodio puro
14410000-8,Sal gema
14420000-1,Sal marina
14430000-4,Sal evaporada y cloruro de sodio puro
14450000-0,Salmuera
14500000-6,Productos relacionados con la explotación de minas y canteras
14520000-2,Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos
14521000-9,Piedras preciosas y semipreciosas
14521100-0,Piedras preciosas
14521140-2,Polvillo o polvo de piedras preciosas
14521200-1,Piedras semipreciosas
14521210-4,Polvillo o polvo de piedras semipreciosas
14522000-6,Diamantes industriales; piedra pómez; esmeril y otros abrasivos naturales
14522100-7,Piedra pómez
14522200-8,Diamantes industriales
14522300-9,Esmeril
14522400-0,Abrasivos naturales
14523000-3,"Minerales conexos, metales preciosos y productos afines"
14523100-4,Minerales
14523200-5,Oro
14523300-6,Plata
14523400-7,Platino
14600000-7,Minerales metálicos y aleaciones
14610000-0,Minerales metálicos
14611000-7,Minerales de hierro
14612000-4,Minerales metálicos no ferrosos
14612100-5,Minerales de cobre
14612200-6,Minerales de níquel
14612300-7,Minerales de aluminio
14612400-8,Minerales de metales preciosos
14612500-9,Minerales de plomo
14612600-0,Minerales de zinc
14612700-1,Minerales de estaño
14613000-1,Minerales de uranio y torio
14613100-2,Minerales de uranio
14613200-3,Minerales de torio
14614000-8,Minerales diversos
14620000-3,Aleaciones
14621000-0,Ferroaleaciones
14621100-1,Ferroaleaciones distintas de las de la CECA
14621110-4,Ferromanganeso
14621120-7,Ferrocromo
14621130-0,Ferroníquel
14622000-7,Acero
14630000-6,"Escoria y batiduras, desperdicios y desechos ferrosos"
14700000-8,Metales comunes
14710000-1,"Hierro, plomo, zinc, estaño y cobre"
14711000-8,Hierro
14711100-9,Fundición en bruto
14712000-5,Plomo
14713000-2,Zinc
14714000-9,Estaño
14715000-6,Cobre
14720000-4,"Aluminio, níquel, escandio, titanio y vanadio"
14721000-1,Aluminio
14721100-2,Óxido de aluminio
14722000-8,Níquel
14723000-5,Escandio
14724000-2,Titanio
14725000-9,Vanadio
14730000-7,"Cromo, manganeso, cobalto, itrio y circonio"
14731000-4,Cromo
14732000-1,Manganeso
14733000-8,Cobalto
14734000-5,Itrio
14735000-2,Circonio
14740000-0,"Molibdeno, tecnecio, rutenio y rodio"
14741000-7,Molibdeno
14742000-4,Tecnecio
14743000-1,Rutenio
14744000-8,Rodio
14750000-3,"Cadmio, lutecio, hafnio, tantalio y wolframio"
14751000-0,Cadmio
14752000-7,Lutecio
14753000-4,Hafnio
14754000-1,Tantalio
14755000-8,Wolframio
14760000-6,"Iridio, galio, indio, talio y bario"
14761000-3,Iridio
14762000-0,Galio
14763000-7,Indio
14764000-4,Talio
14765000-1,Bario
14770000-9,"Cesio, estroncio, rubidio y calcio"
14771000-6,Cesio
14772000-3,Estroncio
14773000-0,Rubidio
14774000-7,Calcio
14780000-2,"Potasio, magnesio, sodio y litio"
14781000-9,Potasio
14782000-6,Magnesio
14783000-3,Sodio
14784000-0,Litio
14790000-5,"Niobio, osmio, renio y paladio"
14791000-2,Niobio
14792000-9,Osmio
14793000-6,Renio
14794000-3,Paladio
14800000-9,Productos minerales no metálicos diversos
14810000-2,Productos abrasivos
14811000-9,"Muelas, piedras y ruedas de amolar"
14811100-0,Muelas
14811200-1,Piedras de amolar
14811300-2,Ruedas de amolar
14812000-6,Abrasivos en polvo o en grano
14813000-3,Corindón artificial
14814000-0,Grafito artificial
14820000-5,Vidrio
14830000-8,Fibras de vidrio
14900000-0,Materias primas secundarias de recuperación
14910000-3,Materias primas metálicas secundarias de recuperación
14920000-6,Materias primas no metálicas secundarias de recuperación
14930000-9,Cenizas y residuos que contengan metales
15000000-8,"Alimentos, bebidas, tabaco y productos afines"
15100000-9,"Productos de origen animal, carne y productos cárnicos"
15110000-2,Carne
15111000-9,Carne de bovino
15111100-0,Carne de vaca
15111200-1,Carne de ternera
15112000-6,Aves de corral
15112100-7,Aves de corral frescas
15112110-0,Gansos
15112120-3,Pavos
15112130-6,Pollos
15112140-9,Patos
15112300-9,Hígados de aves de corral
15112310-2,Foie gras
15113000-3,Carne de cerdo
15114000-0,Despojos
15115000-7,Cordero y carnero
15115100-8,Cordero
15115200-9,Carnero
15117000-1,Carne de cabra
15118000-8,"Carne de caballo, asno, mulo o burdégano"
15118100-9,Carne de caballo
15118900-7,"Carne de asno, mulo o burdégano"
15119000-5,Carnes diversas
15119100-6,Carne de conejo
15119200-7,Carne de liebre
15119300-8,Caza
15119400-9,Ancas de rana
15119500-0,Palomas
15119600-1,Carne de pescado
15130000-8,Productos cárnicos
15131000-5,Conservas y preparaciones cárnicas
15131100-6,Productos a base de carne para embutidos
15131110-9,Carne para embutidos
15131120-2,Productos de charcutería
15131130-5,Embutidos
15131134-3,Morcillas y otros embutidos de sangre
15131135-0,Embutidos de carne de ave
15131200-7,"Carne seca, salada, ahumada o condimentada"
15131210-0,Jamón ahumado
15131220-3,Beicon
15131230-6,Salami
15131300-8,Preparaciones a base de hígado
15131310-1,Paté
15131320-4,Preparaciones a base de hígado de ganso o de pato
15131400-9,Productos a base de carne de cerdo
15131410-2,Jamón
15131420-5,Albóndigas
15131490-6,Platos preparados con carne de cerdo
15131500-0,Productos de volatería
15131600-1,Productos a base de carne de vaca y de ternera
15131610-4,Albóndigas de carne de vaca
15131620-7,Carne picada de vaca
15131640-3,Hamburguesas de carne de vaca
15131700-2,Preparaciones a base de carne
15200000-0,Pescado preparado y en conserva
15210000-3,"Filetes de pescado, hígados y huevas de pescado"
15211000-0,Filetes de pescado
15211100-1,Filetes de pescado fresco
15212000-7,Huevas
15213000-4,Hígados de pescado
15220000-6,"Pescado, filetes de pescado y otros tipos de carne de pescado congelados"
15221000-3,Pescado congelado
15229000-9,Productos congelados de pescados
15230000-9,Pescado seco o salado; en salmuera; ahumado
15231000-6,Pescado seco
15232000-3,Pescado salado
15233000-0,Pescado en salmuera
15234000-7,Pescado ahumado
15235000-4,Conservas de pescado
15240000-2,Pescado en conserva o en lata y otros pescados preparados o en conserva
15241000-9,"Pescado empanado, en conserva o en lata"
15241100-0,Salmón en conserva
15241200-1,Arenques preparados o en conserva
15241300-2,Sardinas
15241400-3,Atún en conserva
15241500-4,Caballa
15241600-5,Anchoas
15241700-6,Palitos de pescado
15241800-7,Preparaciones a base de pescado empanado
15242000-6,Platos de pescado preparados
15243000-3,Preparaciones a base de pescado
15244000-0,Caviar y huevos de peces
15244100-1,Caviar
15244200-2,Huevos de peces
15250000-5,Mariscos
15251000-2,Crustáceos congelados
15252000-9,Crustáceos preparados o en conserva
15253000-6,Productos a base de moluscos
15300000-1,"Frutas, legumbres y hortalizas y productos conexos"
15310000-4,Patatas y productos a base de patatas
15311000-1,Patatas congeladas
15311100-2,Patatas fritas
15311200-3,"Patatas en dados, en rodajas y otras, congeladas"
15312000-8,Productos a base de patatas
15312100-9,Puré de patatas instantáneo
15312200-0,Patatas prefritas
15312300-1,Hojuelas de patatas
15312310-4,Hojuelas de patatas condimentadas
15312400-2,Aperitivos a base de patatas
15312500-3,Croquetas de patatas
15313000-5,Patatas elaboradas
15320000-7,Zumos de frutas y hortalizas
15321000-4,Zumos de frutas
15321100-5,Zumo de naranja
15321200-6,Zumo de pomelo
15321300-7,Zumo de limón
15321400-8,Zumo de piña
15321500-9,Zumo de uva
15321600-0,Zumo de manzana
15321700-1,Mezclas de zumos no concentrados
15321800-2,Zumos concentrados
15322000-1,Zumos de hortalizas
15322100-2,Zumo de tomate
15330000-0,Frutas y hortalizas elaboradas
15331000-7,Legumbres y hortalizas elaboradas
15331100-8,Legumbres y hortalizas frescas o congeladas
15331110-1,Hortalizas de raíz elaboradas
15331120-4,Hortalizas de tubérculo elaboradas
15331130-7,"Judías, guisantes, pimientos, tomates y las demás legumbres y hortalizas"
15331131-4,Judías elaboradas
15331132-1,Guisantes elaborados
15331133-8,Guisantes partidos
15331134-5,Tomates elaborados
15331135-2,Setas elaboradas
15331136-9,Pimientos elaborados
15331137-6,Brotes de soja
15331138-3,Trufas
15331140-0,Hortalizas de hoja y coles
15331142-4,Repollos elaborados
15331150-3,Legumbres elaboradas
15331170-9,Legumbres y hortalizas congeladas
15331400-1,Legumbres y hortalizas en conserva y/o enlatadas
15331410-4,Judías en salsa de tomate
15331411-1,"Judías blancas cocidas, en salsa de tomate"
15331420-7,Tomates en conserva
15331423-8,Tomates enlatados
15331425-2,Puré de tomate
15331427-6,Puré de tomate concentrado
15331428-3,Salsa de tomate
15331430-0,Champiñones enlatados
15331450-6,Aceitunas elaboradas
15331460-9,Legumbres y hortalizas enlatadas
15331461-6,Coles fermentadas enlatadas
15331462-3,Guisantes enlatados
15331463-0,Alubias desvainadas enlatadas
15331464-7,Judías verdes enteras enlatadas
15331465-4,Espárragos enlatados
15331466-1,Aceitunas enlatadas
15331470-2,Maíz dulce
15331480-5,Legumbres y hortalizas conservadas provisionalmente
15331500-2,Hortalizas en vinagre
15332000-4,Frutas y frutos de cáscara elaborados
15332100-5,Frutas elaboradas
15332140-7,Manzanas elaboradas
15332150-0,Peras elaboradas
15332160-3,Plátanos elaborados
15332170-6,Ruibarbo
15332180-9,Melones
15332200-6,Compotas y mermeladas; jaleas de fruta; purés y pastas de fruta o de frutos de cáscara
15332230-5,Mermeladas
15332231-2,Mermelada de naranja
15332232-9,Mermelada de limón
15332240-8,Jaleas de fruta
15332250-1,Pastas de fruta
15332260-4,Pasta de frutos de cáscara
15332261-1,Mantequilla de cacahuete
15332270-7,Purés de fruta
15332290-3,Compotas
15332291-0,Compota de albaricoque
15332292-7,Compota de zarzamora
15332293-4,"Compota de grosella negra ""casis"""
15332294-1,Compota de cereza
15332295-8,Compota de frambuesa
15332296-5,Compota de fresa
15332300-7,Frutos de cáscara elaborados
15332310-0,Frutos de cáscara tostados o salados
15332400-8,Conservas de fruta
15332410-1,Fruta seca
15332411-8,Pasas de Corinto elaboradas
15332412-5,Pasas elaboradas
15332419-4,Sultaninas
15333000-1,Subproductos de hortalizas
15400000-2,Aceites y grasas animales o vegetales
15410000-5,Aceites y grasas animales o vegetales en bruto
15411000-2,Aceites animales o vegetales
15411100-3,Aceites vegetales
15411110-6,Aceite de oliva
15411120-9,Aceite de sésamo
15411130-2,Aceite de cacahuete
15411140-5,Aceite de coco
15411200-4,Aceite de cocina
15411210-7,Aceite para freír
15412000-9,Grasas
15412100-0,Grasas animales
15412200-1,Grasas vegetales
15413000-6,Residuos sólidos de grasas o aceites vegetales
15413100-7,Torta de oleaginosas
15420000-8,Aceites y grasas refinados
15421000-5,Aceites refinados
15422000-2,Grasas refinadas
15423000-9,Grasas o aceites hidrogenados o esterificados
15424000-6,Ceras vegetales
15430000-1,Grasas comestibles
15431000-8,Margarina y preparaciones similares
15431100-9,Margarina
15431110-2,Margarina líquida
15431200-0,Productos para untar de contenido graso bajo o reducido
15500000-3,Productos lácteos
15510000-6,Leche y nata (crema)
15511000-3,Leche
15511100-4,Leche pasteurizada
15511200-5,Leche esterilizada
15511210-8,Leche UHT
15511300-6,Leche descremada
15511400-7,Leche semidescremada
15511500-8,Leche entera
15511600-9,Leche condensada
15511700-0,Leche en polvo
15512000-0,Nata (crema)
15512100-1,"Crema de leche, con un contenido de materias grasas, en peso, superior al 18 %"
15512200-2,"Crema de leche espesa, con un contenido de materias grasas, en peso, del 48 %"
15512300-3,"Nata en grumos (""clotted cream""), con un contenido de materias grasas, en peso, igual o superior al 48 %"
15512900-9,Nata montada
15530000-2,Mantequilla
15540000-5,Queso
15541000-2,Queso de mesa
15542000-9,Queso fresco
15542100-0,Requesón
15542200-1,Quesos de pasta blanda
15542300-2,Queso feta
15543000-6,"Queso rallado, en polvo, de pasta azul y otros quesos"
15543100-7,Queso de pasta azul
15543200-8,Queso cheddar
15543300-9,Queso rallado
15543400-0,Queso parmesano
15544000-3,Queso de pasta dura
15545000-0,Quesos para untar
15550000-8,Productos lácteos diversos
15551000-5,Yogur y otros productos lácteos fermentados
15551300-8,Yogur
15551310-1,Yogur natural
15551320-4,Yogur aromatizado
15551500-0,Suero de mantequilla
15552000-2,Caseína
15553000-9,Lactosa o jarabe de lactosa
15554000-6,Suero de leche
15555000-3,Helados y productos similares
15555100-4,Helados
15555200-5,Sorbetes
15600000-4,"Productos de molinería, almidones y productos de almidón"
15610000-7,Productos de molinería
15611000-4,Arroz descascarillado
15612000-1,Harina de cereales o legumbres y productos conexos
15612100-2,Harina de trigo
15612110-5,Harina integral
15612120-8,Harina de panificación
15612130-1,Harina corriente
15612150-7,Harina para pastelería
15612190-9,Harina fermentante
15612200-3,Harina de cereales
15612210-6,Harina de maíz
15612220-9,Harina de arroz
15612300-4,Harinas y sémolas vegetales
15612400-5,Mezclas para la preparación de productos de panadería
15612410-8,Mezclas de pastelería
15612420-1,Mezclas para hornear
15612500-6,Productos de panadería
15613000-8,Productos a base de granos de cereales
15613100-9,Avena molida
15613300-1,Productos a base de cereales
15613310-4,Cereales preparados para desayuno
15613311-1,Copos de maíz
15613313-5,Muesli o equivalente
15613319-7,Trigo hinchado
15613380-5,Granos aplastados de avena
15614000-5,Arroz elaborado
15614100-6,Arroz de grano largo
15614200-7,Arroz molido
15614300-8,Arroz partido
15615000-2,Salvado
15620000-0,Almidones y productos amiláceos
15621000-7,Aceite de maíz
15622000-4,Glucosa y productos a base de glucosa; fructosa y productos a base de fructosa
15622100-5,Glucosa y productos a base de glucosa
15622110-8,Glucosa
15622120-1,Jarabe de glucosa
15622300-7,Fructosa y productos a base de fructosa
15622310-0,Fructosa
15622320-3,Preparaciones a base de fructosa
15622321-0,Soluciones de fructosa
15622322-7,Jarabe de fructosa
15623000-1,Almidones y féculas
15624000-8,Tapioca
15625000-5,Sémola
15626000-2,Natillas en polvo
15700000-5,Alimentos para el ganado
15710000-8,Alimentos preparados para animales de granja y otros animales
15711000-5,Alimentos para peces
15712000-2,Pienso seco
15713000-9,Alimentos para animales domésticos
15800000-6,Productos alimenticios diversos
15810000-9,"Productos de panificación, pasteles y productos de pastelería frescos"
15811000-6,Productos a base de pan
15811100-7,Pan
15811200-8,Panecillos
15811300-9,Cruasanes
15811400-0,"Tortitas (""crumpets"")"
15811500-1,Productos de panificación preparados
15811510-4,Bocadillos y emparedados
15811511-1,Bocadillos y emparedados preparados
15812000-3,Pasteles y productos de pastelería
15812100-4,Productos de pastelería
15812120-0,Empanadas
15812121-7,Empanadas de verduras
15812122-4,Empanadas dulces
15812200-5,Pasteles
15813000-0,Productos para el desayuno
15820000-2,Biscotes y galletas; pasteles y productos de pastelería conservados
15821000-9,Productos de pan tostado y de pastelería
15821100-0,Productos de pan tostado
15821110-3,Pan tostado
15821130-9,Galletas crocantes
15821150-5,Biscotes
15821200-1,Galletas dulces
15830000-5,Azúcar y productos conexos
15831000-2,Azúcar
15831200-4,Azúcar blanco
15831300-5,Azúcar y jarabe de arce
15831400-6,Melazas
15831500-7,Jarabes de azúcar
15831600-8,Miel
15832000-9,Residuos de la industria azucarera
15833000-6,Productos del azúcar
15833100-7,Postres
15833110-0,Fondos de tarta
15840000-8,Cacao; chocolate y productos de confitería
15841000-5,Cacao
15841100-6,Pasta de cacao
15841200-7,"Manteca, grasa o aceite de cacao"
15841300-8,Cacao en polvo no azucarado
15841400-9,Cacao en polvo azucarado
15842000-2,Chocolate y artículos de confitería
15842100-3,Chocolate
15842200-4,Productos a base de chocolate
15842210-7,Chocolate para beber
15842220-0,Tabletas de chocolate
15842300-5,Artículos de confitería
15842310-8,Caramelos
15842320-1,Turrón
15842400-6,"Frutas, frutos de cáscara o cáscaras de fruta conservados con azúcar"
15850000-1,Pastas alimenticias
15851000-8,Productos farináceos
15851100-9,Pastas alimenticias sin cocer
15851200-0,Pastas alimenticias y cuscús preparados
15851210-3,Pastas alimenticias preparadas
15851220-6,Pastas alimenticias rellenas
15851230-9,Lasañas
15851250-5,Cuscús
15851290-7,Pastas alimenticias enlatadas
15860000-4,"Café, té y productos conexos"
15861000-1,Café
15861100-2,Café tostado
15861200-3,Café descafeinado
15862000-8,Sucedáneos del café
15863000-5,Té
15863100-6,Té verde
15863200-7,Té negro
15864000-2,Preparaciones de té o de mate
15864100-3,Bolsitas de té
15865000-9,Infusiones de hierbas
15870000-7,Condimentos y sazonadores
